P1010_RECEIVER_USER_ID|P1010_CONTENT|P1010_RECOGNITION_CATEGORY_ID|P1010_RECOGNITION_SUBCATEGORY_ID|P1010_AWARD_ID|P1010_EXISTS_BLOB_IMAGE_YN|P1010_POST_HAS_DZ_IMAGES_Y|P1010_GIF_URL|P1010_REWARD_AMOUNT
"2361,2531"|🌟 Going the extra mile every time!|42|25|261|N|N||3
"2927,2915,2222"|🌟 Supporting teammates with valuable insights!|2|3|256|N|N||3
"2532"|🌟 Supporting teammates with valuable insights!|||261|N|N||5
"2689"|🌟 Outstanding effort on the project!|||260|N|N||0
"2441"|🌟 Coding skills that amaze everyone!|||257|N|N||0
"2910"|🌟 Supporting teammates with valuable insights!|42|24|256|N|N||2
"2923"|🌟 Bringing creative solutions to complex problems!|1||262|N|N||1
"2918,2913,2921"|🌟 Coding skills that amaze everyone!|1||256|N|N||0
"2912,2265"|🌟 Coding skills that amaze everyone!|1||261|N|N||5
"2910"|🌟 Exceptional teamwork in the last sprint!|2|3|257|N|N||1
"2911"|🌟 Supporting teammates with valuable insights!|42|22||N|N||0
"2910"|🌟 Supporting teammates with valuable insights!|||262|N|N||0
"2911"|🌟 Always paying attention to the smallest details!|||257|N|N||2
"185"|🌟 Solving problems like a pro!|42|22|262|N|N||0
"185"|🌟 Bringing creative solutions to complex problems!|1||257|N|N||1
"2918,2911"|🌟 Going the extra mile every time!|42|25|262|N|N||4
"2534"|🌟 Bringing creative solutions to complex problems!|42|24|260|N|N||2
"2537"|🌟 Bringing creative solutions to complex problems!|1||260|N|N||0
"200,2910,2537"|🌟 Coding skills that amaze everyone!|||257|N|N||0
"2924"|🌟 Solving problems like a pro!|||256|N|N||5
"2265"|🌟 Dedication to customer success is remarkable!|1|||N|N||0
"2688,2222"|🌟 Always paying attention to the smallest details!|42|22|257|N|N||2
"2534"|🌟 Always paying attention to the smallest details!||||N|N||1
"2532"|🌟 Always paying attention to the smallest details!|2|3|257|N|N||1
"2266,2920"|🌟 Bringing creative solutions to complex problems!|2|2|262|N|N||1
"2689"|🌟 Going the extra mile every time!|2|2|259|N|N||0
"2916"|🌟 Bringing creative solutions to complex problems!|2|2|261|N|N||0
"2913"|🌟 Supporting teammates with valuable insights!|1||257|N|N||5
"2913,2917,2533"|🌟 Great leadership during discussions!|||261|N|N||2
"2923"|🌟 Bringing creative solutions to complex problems!|1||260|N|N||3
"2266,2909,2925"|🌟 Bringing creative solutions to complex problems!|1||253|N|N||0
"2266"|🌟 Supporting teammates with valuable insights!|42|25|259|N|N||4
"2361"|🌟 Solving problems like a pro!|||262|N|N||0
"2537"|🌟 Coding skills that amaze everyone!|1||257|N|N||0
"2532"|🌟 Going the extra mile every time!|1||258|N|N||2
"2924"|🌟 Solving problems like a pro!|42|24||N|N||0
"2926"|🌟 Bringing creative solutions to complex problems!|1|||N|N||3
"2536"|🌟 Always paying attention to the smallest details!|1|||N|N||1
"198"|🌟 Going the extra mile every time!|1||259|N|N||2
"198"|🌟 Dedication to customer success is remarkable!|||256|N|N||0
"2534"|🌟 Always paying attention to the smallest details!|2|2||N|N||5
"2536"|🌟 Going the extra mile every time!|42|23|257|N|N||0
"2923,2536,2915"|🌟 Exceptional teamwork in the last sprint!|2|3|262|N|N||1
"2531"|🌟 Dedication to customer success is remarkable!|||256|N|N||2
"2912,2537,2266"|🌟 Solving problems like a pro!|42|22|253|N|N||0
"2909"|🌟 Always paying attention to the smallest details!|42|24|257|N|N||5
"2925"|🌟 Always paying attention to the smallest details!|42|25|261|N|N||0
"2381"|🌟 Coding skills that amaze everyone!|1||253|N|N||4
"2914"|🌟 Supporting teammates with valuable insights!|||253|N|N||1
"2924"|🌟 Bringing creative solutions to complex problems!|42|23|256|N|N||0
