P1010_RECEIVER_USER_ID,P1010_CONTENT,P1010_RECOGNITION_CATEGORY_ID,P1010_RECOGNITION_SUBCATEGORY_ID,P1010_AWARD_ID,P1010_EXISTS_BLOB_IMAGE_YN,P1010_POST_HAS_DZ_IMAGES_Y,P1010_GIF_URL,P1010_REWARD_AMOUNT
2920,👏 Outstanding teamwork during the sprint!,42,25,261,N,N,,0
"2920,2531,2537",👏 Providing excellent mentorship to teammates!,42,25,259,N,N,,0
2688,👏 Great problem-solving skills!,2,2,253,N,N,,0
2916,👏 Great problem-solving skills!,2,2,259,N,N,,0
2535,👏 Fantastic leadership in the meeting!,1,,256,N,N,,0
"2688,185,2924",👏 Incredible dedication to customer service!,2,2,259,N,N,,0
"2381,2533,2917",👏 Great problem-solving skills!,2,2,261,N,N,,0
2537,👏 Exceptional coding abilities!,2,3,260,N,N,,0
2914,👏 Consistently going above and beyond!,,,259,N,N,,0
2914,👏 Outstanding teamwork during the sprint!,,,262,N,N,,0
2926,👏 Consistently going above and beyond!,42,23,259,N,N,,0
2918,👏 Exceptional coding abilities!,42,25,262,N,N,,0
"2533,2923,2915",👏 Exceptional coding abilities!,1,,260,N,N,,0
"2924,200,2909",👏 Impressive attention to detail!,,,262,N,N,,0
"2915,198,2910",👏 Fantastic leadership in the meeting!,,,256,N,N,,0
2534,👏 Impressive attention to detail!,,,262,N,N,,0
"2925,2535,2921",👏 Providing excellent mentorship to teammates!,,,253,N,N,,0
2909,👏 Exceptional coding abilities!,,,256,N,N,,0
2915,👏 Great problem-solving skills!,,,253,N,N,,0
"2927,2924",👏 Exceptional coding abilities!,42,25,258,N,N,,0
"2912,2535,198",👏 Consistently going above and beyond!,2,2,259,N,N,,0
2536,👏 Great problem-solving skills!,42,24,258,N,N,,0
200,👏 Outstanding teamwork during the sprint!,42,22,256,N,N,,0
198,👏 Great problem-solving skills!,,,253,N,N,,0
198,👏 Impressive attention to detail!,42,24,262,N,N,,0
2911,👏 Exceptional coding abilities!,2,3,260,N,N,,0
2531,👏 Outstanding teamwork during the sprint!,1,,262,N,N,,0
"2690,2688",👏 Fantastic leadership in the meeting!,,,257,N,N,,0
2917,👏 Consistently going above and beyond!,,,259,N,N,,0
2537,👏 Fantastic leadership in the meeting!,2,2,261,N,N,,0
2922,👏 Providing excellent mentorship to teammates!,1,,260,N,N,,0
185,👏 Impressive attention to detail!,1,,253,N,N,,0
"2915,2689,2531",👏 Amazing work on the latest project!,,,,N,N,,0
"2923,185,200",👏 Great problem-solving skills!,42,22,,N,N,,0
2909,👏 Consistently going above and beyond!,,,262,N,N,,0
2441,👏 Bringing innovative ideas to the table!,2,3,260,N,N,,0
2922,👏 Great problem-solving skills!,42,22,258,N,N,,0
2361,👏 Impressive attention to detail!,42,23,262,N,N,,0
2914,👏 Fantastic leadership in the meeting!,2,3,253,N,N,,0
2917,👏 Consistently going above and beyond!,,,262,N,N,,0
2922,👏 Amazing work on the latest project!,42,24,260,N,N,,0
2920,👏 Exceptional coding abilities!,2,2,261,N,N,,0
2912,👏 Providing excellent mentorship to teammates!,1,,253,N,N,,0
2690,👏 Incredible dedication to customer service!,42,25,258,N,N,,0
"2266,2918",👏 Exceptional coding abilities!,42,25,,N,N,,0
2381,👏 Outstanding teamwork during the sprint!,1,,262,N,N,,0
"2911,2913,2918",👏 Amazing work on the latest project!,,,260,N,N,,0
"2381,198,2922",👏 Bringing innovative ideas to the table!,42,22,261,N,N,,0
2381,👏 Fantastic leadership in the meeting!,2,3,260,N,N,,0
2922,👏 Providing excellent mentorship to teammates!,,,256,N,N,,0
