P1010_RECEIVER_USER_ID|P1010_CONTENT|P1010_RECOGNITION_CATEGORY_ID|P1010_RECOGNITION_SUBCATEGORY_ID|P1010_AWARD_ID|P1010_EXISTS_BLOB_IMAGE_YN|P1010_POST_HAS_DZ_IMAGES_Y|P1010_GIF_URL|P1010_REWARD_AMOUNT
"415"|"🌟 Exceptional skills displayed!"|43|64|423|N|N||2
"415"|"🌟 Exceptional skills displayed!"|21|23|22|N|N||1
"801"|"🌟 Your commitment makes a difference!"|21|22|21|N|N||0
"798,415"|"🌟 Your commitment makes a difference!"|43|63|481|N|N||0
"415"|"🌟 Brilliant execution and innovation!"|21|21|22|N|N||0
"140"|"🌟 Outstanding achievement by the team!"|21|23|481|N|N||4
"801"|"🌟 Brilliant execution and innovation!"|22|24|400|N|N||3
"801,169"|"🌟 Going above and beyond expectations!"|22|26|1|N|N||0
"415"|"🌟 Inspiring results and creativity!"|22|24|481|N|N||3
"798"|"🌟 A shining example of teamwork!"|23|42|521|N|N||5
"169"|"🌟 Going above and beyond expectations!"|21|23|1|N|N||1
"140"|"🌟 Outstanding achievement by the team!"|21|21|21|N|N||2
"169"|"🌟 Setting new standards with every effort!"|21|22|481|N|N||1
"140,798"|"🌟 Setting new standards with every effort!"|21|22|22|N|N||4
"415"|"🌟 Your commitment makes a difference!"|21|23|21|N|N||4
"415"|"🌟 Brilliant execution and innovation!"|21|22|1|N|N||3
"140"|"🌟 A shining example of teamwork!"|21|21|521|N|N||4
"415"|"🌟 Outstanding achievement by the team!"|43|61|1|N|N||3
"140"|"🌟 Your commitment makes a difference!"|21|22|441|N|N||1
"415,801"|"🌟 Brilliant execution and innovation!"|22|25|521|N|N||4
"140"|"🌟 Going above and beyond expectations!"|21|21|462|N|N||0
"798"|"🌟 Exceptional skills displayed!"|21|22|423|N|N||5
"140"|"🌟 Consistent excellence in every task!"|22|26|43|N|N||0
"415"|"🌟 Your commitment makes a difference!"|23|42|399|N|N||4
"801"|"🌟 Remarkable dedication observed!"|21|22|462|N|N||4
"801,798"|"🌟 Amazing performance recognized!"|22|26|400|N|N||4
"415"|"🌟 Great job on the project!"|21|21|441|N|N||1
"798"|"🌟 Amazing performance recognized!"|22|26|47|N|N||0
"798,169"|"🌟 Continuous improvement is evident!"|22|25|22|N|N||4
"801"|"🌟 Amazing performance recognized!"|21|22|441|N|N||4
"140,798"|"🌟 Consistent excellence in every task!"|21|21|441|N|N||5
"798"|"🌟 Inspiring results and creativity!"|43|62|341|N|N||3
"140"|"🌟 Remarkable dedication observed!"|23|42|423|N|N||1
"801"|"🌟 Setting new standards with every effort!"|23|41|23|N|N||5
"798"|"🌟 Consistent excellence in every task!"|22|24|501|N|N||2
"140"|"🌟 Amazing performance recognized!"|43|62|423|N|N||3
"801"|"🌟 Consistent excellence in every task!"|43|61|400|N|N||4
"801,798"|"🌟 Your commitment makes a difference!"|23|41|47|N|N||4
"415"|"🌟 Amazing performance recognized!"|23|42|441|N|N||2
"415"|"🌟 Setting new standards with every effort!"|21|22|22|N|N||5
"801"|"🌟 Amazing performance recognized!"|21|21|26|N|N||4
"801"|"🌟 Outstanding achievement by the team!"|22|24|23|N|N||5
"798"|"🌟 Inspiring results and creativity!"|21|21|42|N|N||4
"415"|"🌟 Exceptional skills displayed!"|22|24|26|N|N||3
"169"|"🌟 Consistent excellence in every task!"|43|61|47|N|N||0
"801"|"🌟 A shining example of teamwork!"|22|25|23|N|N||3
"801,798"|"🌟 Your hard work truly pays off!"|43|61|423|N|N||4
"415"|"🌟 Continuous improvement is evident!"|22|25|481|N|N||0
"801"|"🌟 Going above and beyond expectations!"|21|23|42|N|N||1
"801,140"|"🌟 Great job on the project!"|21|21|22|N|N||0
